Model,Best Val PR-AUC,Best Val ROC-AUC,Epochs
Baseline,0.7748657464981079,0.9834253787994385,13
Larger Network,0.7640946507453918,0.9793018698692322,11
Lower Dropout,0.7906146049499512,0.9770748615264893,11
Higher Dropout,0.7806395292282104,0.9780767560005188,11
Lower L2,0.7775779962539673,0.9777311682701111,11
