loss,pr_auc,precision,recall,roc_auc,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0.41983604431152344,0.5223073363304138,0.03473518043756485,0.8013244867324829,0.9268428683280945,0.2651605010032654,0.7604961395263672,0.035240039229393005,0.9078947305679321,0.9774889349937439
0.26140016317367554,0.6091421842575073,0.037599124014377594,0.9105960130691528,0.9807206988334656,0.17229238152503967,0.7270277142524719,0.058671269565820694,0.8947368264198303,0.9789144992828369
0.22748881578445435,0.6036562919616699,0.04169157147407532,0.9238410592079163,0.9876406788825989,0.1443490982055664,0.7335919737815857,0.0814371258020401,0.8947368264198303,0.9768597483634949
0.22388461232185364,0.5874471068382263,0.03875327482819557,0.9304635524749756,0.9875190258026123,0.1724514365196228,0.7363623380661011,0.04467134550213814,0.9210526347160339,0.974107027053833
0.2027461975812912,0.6038804650306702,0.043484803289175034,0.9569536447525024,0.9894273281097412,0.17094071209430695,0.7656034827232361,0.04884856939315796,0.9210526347160339,0.9764996767044067
0.18732957541942596,0.5962527990341187,0.042671892791986465,0.9370861053466797,0.9928581118583679,0.16145719587802887,0.6709602475166321,0.04098360612988472,0.9210526347160339,0.9765149354934692
0.16223262250423431,0.634130597114563,0.05253523588180542,0.9503311514854431,0.9954564571380615,0.1665598452091217,0.7315681576728821,0.03283302113413811,0.9210526347160339,0.9776391386985779
0.166905477643013,0.6327479481697083,0.043557167053222656,0.9536423683166504,0.9942649602890015,0.1527891308069229,0.7307508587837219,0.0379609540104866,0.9210526347160339,0.9722777605056763
0.15328367054462433,0.6672297716140747,0.04806895554065704,0.9602649211883545,0.9952035546302795,0.1687474548816681,0.7125840187072754,0.03205128386616707,0.9210526347160339,0.9720341563224792
0.13454437255859375,0.6561785340309143,0.05361733213067055,0.9668874144554138,0.9969961047172546,0.10522846132516861,0.7139559984207153,0.08027523010969162,0.9210526347160339,0.9725633263587952
